メッシュ演算(300万回),b,a
1,5.74545908,5.048542976
2,5.724340916,4.974018097
3,5.771981955,4.810835114
平均,5.74726065,4.944465396
短縮率(%),13.96831122,
QRコード生成(100回),b,a
1,4.645967007,Err
2,4.711317062,Err
3,4.698528051,Err
平均,4.685270707,Err
,,
逆行列演算(PHP-ML・100万回),b,a
1,11.85885596,6.525880957
2,12.02357507,6.599364042
3,12.06209397,5.911302996
平均,11.98150833,6.345515998
短縮率(%),47.03908873,
